Title,Summary,Authors,Type,Theme,Status,Date,Orgs involved,Country,Notes,Link,Region,Primary study / Review,Internal / External,Language,Eligibility,Accessibility,License information,Evidence against the intervention?,Study Design,Population,Interventions,Specific intervention,Outcomes,Specific outcomes,Strength of Evidence
"They accept me, because I was one of them: formative qualitative research supporting the feasibility of peer-led outreach for people who use drugs in Dakar, Senegal","Peer outreach harm reduction initiatives are being developed with and for people who use drugs in Dakar, Senegal. This is in response to growing injecting drug use across West Africa region and linked emerging epidemics of HIV and Hepatitis C. We undertook formative qualtitaive research to explore the feasibiltiy and potential of peer outreach in this context and in particular how outreach could be linked to fostering community-level processes of change",,Research (published),Harm Reduction,Published,2018,"ANCS, Kings College London, Alliance Secreteriat and London School of Hygiene and Tropical Medicine",Senegal,,https://link.springer.com/epdf/10.1186/s12954-018-0214-1?author_access_token=hXy3hlsG5z_JP4MA_7SGZ2_BpE1tBhCbnbw3BuzI2RP2T9sC_3O2t7I7OkayJHwoisHIUBGlF2wyTkDnYVHPa2pfxCYD74y1z24mz38WWlrgcMaPq9rDUV5u0mxBOf2bnLxa6YttUJZnSnL0_aPicw%3D%3D,,Primary study,Internal,en,Y,Open access,� The Author(s). 2018 Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/),No ,Observational (interviews; thematic analysis),People who use drugs,12,Peer education intervention,11;13;44;45,How awarenessraising could be linked to fostering community-levelprocesses of change,Moderate
"Deep down in their heart, they wish they could be given some incentives: a qualitative study on the changing roles and relations of care among home-based caregivers in Zambia","Across Sub-Saharan Africa, the roll-out of antiretroviral treatment (ART) has contributed to shifting HIV care towards the management of a chronic health condition. While the balance of professional and lay tasks in HIV caregiving has been significantly altered due to changing skills requirements and task-shifting initiatives, little attention has been given to the effects of these changes on health workers' motivation and existing care relations.",,Research (published),Caregivers,Completed,2014,Alliance Secretariat,Zambia,,https://doi.org/10.1186/s12913-015-0685-7,,Primary study,Internal,en,Y,Open access,"� 2015 Cataldo et al.; licensee BioMed Central. This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0), wh",Yes,"Observational (observations, interviews; thematic analysis)",People living with HIV,2,Community healthcare worker intervention,8;5;9;10,,Moderate
Willingness to use pre-exposure prophylaxis (PrEP) for HIV prevention among men who have sex with men (MSM) in Malaysia: findings from a qualitative study,"Men who have sex with men (MSM) continue to be disproportionately affected by HIV in Malaysia. Recent success has been observed within demonstration projects examining the efficacy of HIV pre-exposure prophylaxis (PrEP), an antiretroviral -based medication taken by HIV-negative men to prevent sero-conversion.",,Research,"Prevention, KP:MSM",Published,2017,,Malaysia,,https://www.ncbi.nlm.nih.gov/pubmed/28782336,,Primary study,Internal,en,Y,Open access,"� 2017 Bourne A et al; licensee International AIDS Society. This is an Open Access article distributed under the terms of the Creative Commons Attribution 3.0 Unported (CC BY 3.0) License (http://creativecommons.org/licenses/by/3.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",No,Observational (interviews; thematic analysis),Men who have sex with men,12,"Discussions focussed on awareness and potential information management, general perceptions of PrEP and potential motivations or barriers to the use of PrEP, including those at the personal, social, health system or structural level.",17,,Low
Using risk-tracing snowball approach to increase HIV case detection among high-risk populations in Cambodia: an intervention study,"Early HIV diagnosis and initiation onto antiretroviral therapy may prevent ongoing spread of HIV. Risk Tracing Snowball Approach (RTSA) has been shown to be effective in detecting new HIV cases in other settings. The main objective of this study is to evaluate the effectiveness of RTSA in increasing the rate of newly identified HIV cases among high-risk populations. Our second objective was to evaluate the effectiveness of RTSA, as compared to the walk-in group, in increasing the number of HIV tests and early case detection",,Research (published),Early HIV Detection,Published,2017,KHANA,Cambodia,BMC Infect Dis. 2017 Oct 18;17(1):689,https://doi.org/10.1186/s12879-017-2790-1,,Primary study,Internal,en,Y,Open access,� The Author(s). 2017 Open Access This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/),No,Observational (Risk Tracing Snowball Approach (RTSA); using a respondent driven sampling method),Transgender people;Men who have sex with men;People who use drugs;Sex workers,2;12,,6;17,,Moderate
Trends in injection risk behaviors among people who inject drugs and the impact of harm reduction,The study examined trends in injection risk behaviors among people who inject drugs (PWIDs) and assessed the impact of harm reduction programs in Ukraine during 2007-2013. Findings suggest that prevention programs in Ukraine have a positive impact and provide support for governmental expansion of these programs.,,Research (published),KP: PWUD PWIDs Harm reduction,Published,2017,APH,Ukraine,https://www.ncbi.nlm.nih.gov/pubmed/28097615,https://doi.org/10.1007/s11524-016-0119-9,,Primary study,Internal,en,Y,Closed access,� The New York Academy of Medicine 2017,No,Observational (Secondary analysis of the data collected in serial cross-sectionalbio-behavioral surveillance surveys),People living with HIV,9;10,"needle and syringe programs, OAT with buprenorphine or methadone, HIV testing, and consultations provided to PWIDs",11;12;13;14;28;29;30;31,"(1) injecting drugs with a syringe previously used by another person during the last injection, (2) injecting drugs with a syringe previously used by anotherperson at least once in the last 30 days, (3) using common instruments for sharing (i.e., preparation)of a drug at least once in the last 30 days, (4) injecting with a preloaded syringe at least once in the last 30 days.",Moderate
The impact of a livelihood program on depressive symptoms among people living with HIV in Cambodia,"Although livelihood programs have been implemented extensively to improve the daily living conditions of people living with HIV in Cambodia, no studies have yet investigated the impacts of these programs on the mental health of this vulnerable population. We examined the impact of a livelihood program on depressive symptoms and associated factors among people living with HIV in Cambodia.",,Research (published),"PLHIV, Livelihood",Completed,2016,KHANA,Cambodia,Glob Health Action. 2016 Aug 9;9:31999.,https://www.ncbi.nlm.nih.gov/pubmed/27511811,,Primary study,Internal,en,Y,Open access,� 2016 Mayumi Shimizu et al. This is an Open Access article distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/),No,Quasi-experimental (Non-equivalent comparison group study),People living with HIV,15,Livelihoods program,16;40,,Moderate
The impact of a community-based HIV and sexual reproductive health program on sexual and healthcare-seeking behaviors of female entertainment workers in Cambodia,"In Cambodia, despite great successes in the fight against HIV, challenges remain to eliminating new HIV infections and addressing sexual reproductive health (SRH) issues in key populations including female entertainment workers (FEWs). To address these issues, the Sustainable Action against HIV and AIDS in Communities (SAHACOM) project has been implemented since late 2009 using a community-based approach to integrate HIV and SRH services. This study evaluates the impact of the SAHACOM on sexual and healthcare-seeking behaviors among FEWs in Cambodia.",,Research (published),"SRHR, KP:SW",Completed,2015,KHANA,Cambodia,Yi et al. BMC Infectious Diseases (2015) 15:221,https://doi.org/10.1186/s12879-015-0954-4,,Primary study,Internal,en,Y,Open access,� 2015 Yi et al. This is an Open Access article distributed under the terms of the Creative Commons Attribution License(http://creativecommons.org/licenses/by/4.0),No,Observational (midterm and endpoint comparison design),Sex workers,1;2;7;12,"(1) outreach sessions to FEWs at their workplaces led by FEWs trained as outreach workers who use behavior change communication techniques to promote condom use, HIV/STI testing, family planning, and reproductive health services; (2) community health volunteers offering venue-based counseling and fingerprick HIV/syphilis testing to FEWs as well as case management and referrals for care and treatment at health facilities; and (3) drop-in vocational training centers for FEWs seeking new professions that provides trainings on tailoring, make-up artistry, and hairdressing",18;19;35;38,increase condom use with commercial and non-commercialpartners; (2) decrease number of commercial partners; (3)increase rates of regular HIV and STI testing; (4) increaseuse of modern contraceptive methods; (5) decrease inducedabortion rates; and (6) increase treatment-seekingfor STI symptoms.,Moderate
"Stigma reduction training improves healthcare providers attitudes toward, and experiences of, young marginalized people in Bangladesh","Working with health providers to reduce HIV Stigma in the healthcare setting is an important strategy to improve utilization and quality of care, especially for young people who are sexually active before marriage, are sexual minorities, or who sell sex. A stigma reduction training program for health providers in Bangladesh was evaluated.",,Research (published),Stigma and discrimination,Published,2017,"Alliance Bangladesh, Marie Stopes Bangladesh, Population Council and Watipa Community Interest Company",Bangladesh,Journal of Adolescent Health 60 (2017) 535-544 (Saved in Folder ),https://doi.org/10.1016/j.jadohealth.2016.09.026,,Primary study,Internal,en,Y,Closed access,� 2016 Society for Adolescent Health and Medicine,No,Observational (midterm and endpoint comparison design),Young people,13,Stigma reduction program,20;40,Satisfaction with health services,Moderate
Social return on investment: A cost-benefit analysis of the HIV integrated care and prevention programs in Cambodia,"The aim of this study was to use Social Return on Investment (SROI) methodology to evaluate the social, health, and economic impacts of the ICP project, enabling the calculation of a ratio cost-to-benefit for the community in terms of HIV care, support, and treatment",,Research (published),"Treatment, Cost benefit analysis",Completed,2016,KHANA,Cambodia,"American Journal of Medical Sciences and Medicine Vol. 4, No. 2, 2016, pp 26-35. Editors note: On requet from Marija  we have limited the outcomes presented as relevant in this study to ""Value for Money [47] and removed outcomes 20;16;7.",http://pubs.sciepub.com/ajmsm/4/2/2/,,Primary study,Internal,en,Y,Closed access,� Science and Education Publishing,Yes,Observational (SROI method),People living with HIV,2;12;13;15,KHANA comprehensive services,47,Many - see pg. 29 and 30,Moderate
"Risk network approaches to locating undiagnosed HIV cases in Odessa, Ukraine","Providing HIV healthcare and Treatment as Prevention both depend on diagnosing HIV cases, preferably soon after initial infection. We hypothesized that tracing risk networks recruits higher proportions of undiagnosed positives than outreach-based testing or respondent-driven sampling (RDS) in Odessa, Ukraine.",,Research (published),HIV treatment and prevention,Published,2017,APH,Ukraine,https://www.ncbi.nlm.nih.gov/pubmed/29356365?dopt=Abstract,https://doi.org/10.1002/jia2.25040,,Primary study,Internal,en,Y,Open access,"� 2018 The Authors. Journal of the International AIDS Society published by John Wiley & sons Ltd on behalf of the International AIDS Society. This is anopen access article under the terms of the Creative Commons Attribution License, which permits use, distribution and reproduction in any medium, provided theoriginal work is properly cited.",No,Observational (risk network sampling method),High risk populations,2;12,Comparison of 3 different testing,47,,Moderate
