Title,Summary,Type,Programme,Theme,Status,Date,Contact,Orgs involved,Country,Notes,Link,Region,Primary study / Review,Internal / External,Language,Eligibility,Accessibility,License information,Evidence against the intervention?,Study Design,Population,Interventions,"Intervention(s) - this captures the intervention category from the I/O spreadsheet; [if there is more than one intervention described, suggest we separate with a "";""]",Specific intervention,Outcomes,Outcome(s) - this captures the outcome category from the I/O spreadsheet; yellow highlights indicate new outcomes,Specific outcomes,Strength of Evidence
"They accept me, because I was one of them: formative qualitative research supporting the feasibility of peer-led outreach for people who use drugs in Dakar, Senegal","Peer outreach harm reduction initiatives are being developed with and for people who use drugs in Dakar, Senegal. This is in response to growing injecting drug use across West Africa region and linked emerging epidemics of HIV and Hepatitis C. We undertook formative qualtitaive research to explore the feasibiltiy and potential of peer outreach in this context and in particular how outreach could be linked to fostering community-level processes of change",Research (published),,Harm Reduction,Published,2018,Monika Sigrist,"ANCS, Kings College London, Alliance Secreteriat and London School of Hygiene and Tropical Medicine",Senegal,,https://link.springer.com/epdf/10.1186/s12954-018-0214-1?author_access_token=hXy3hlsG5z_JP4MA_7SGZ2_BpE1tBhCbnbw3BuzI2RP2T9sC_3O2t7I7OkayJHwoisHIUBGlF2wyTkDnYVHPa2pfxCYD74y1z24mz38WWlrgcMaPq9rDUV5u0mxBOf2bnLxa6YttUJZnSnL0_aPicw%3D%3D,,Primary study,Internal,en,Y,Open access,"© The Author(s). 2018 Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (
http://creativecommons.org/licenses/by/4.0/
)",No ,Observational (interviews; thematic analysis),People who inject drugs (PWID),12,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",Peer education intervention,11;13;44;45,Increased uptake of sterile injecting equipment; Increased use of harmful alcohol and substance abuse support; Increase in capacity of communities to be safe and supportive; Positive social transformation (community level),How awarenessraising could be linked to fostering community-levelprocesses of change,Moderate
"‘Deep down in their heart, they wish they could be given some incentives’: a qualitative study on the changing roles and relations of care among home-based caregivers in Zambia","Across Sub-Saharan Africa, the roll-out of antiretroviral treatment (ART) has contributed to shifting HIV care towards the management of a chronic health condition. While the balance of professional and lay tasks in HIV caregiving has been significantly altered due to changing skills requirements and task-shifting initiatives, little attention has been given to the effects of these changes on health workers’ motivation and existing care relations.",Research (published),,Caregivers,Completed,2014,Gitau Mburu,Alliance Secretariat,Zambia,,https://doi.org/10.1186/s12913-015-0685-7,,Primary study,Internal,en,Y,Open access,"© 2015 Cataldo et al.; licensee BioMed Central. This is an Open Access article distributed under the terms of the Creative
Commons Attribution License (http://creativecommons.org/licenses/by/4.0), wh",Yes,"Observational (observations, interviews; thematic analysis)",PLHIV; CHWs,2,"HIV care, testing and treatment (incl. adherence and monitoring) services",Community healthcare worker intervention,8;5;9;10,Improved uptake of ART; Improved adherence to ART; Improved viral suppression on ART; Improved retention in care on ART,,Moderate
Willingness to use pre-exposure prophylaxis (PrEP) for HIV prevention among men who have sex with men (MSM) in Malaysia: findings from a qualitative study.,"Men who have sex with men (MSM) continue to be disproportionately affected by HIV in Malaysia. Recent success has been observed within demonstration projects examining the efficacy of HIV pre-exposure prophylaxis (PrEP), an antiretroviral -based medication taken by HIV-negative men to prevent sero-conversion. ",Research,,"Prevention, KP:MSM",Published,Oct-17,Matteo Cassolato,,Malaysia ,,https://www.ncbi.nlm.nih.gov/pubmed/28782336,,Primary study,Internal,en,Y,Open access,"© 2017 Bourne A et al; licensee International AIDS Society. This is an Open Access article distributed under the terms of the Creative Commons
Attribution 3.0 Unported (CC BY 3.0) License (http://creativecommons.org/licenses/by/3.0/), which permits unrestricted use, distribution, and reproduction in
any medium, provided the original work is properly cited.",No,Observational (interviews; thematic analysis),MSM,12,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)","Discussions focussed on awareness and potential information management, general
perceptions of PrEP and potential motivations or barriers to the use of PrEP, including those at the personal, social, health
system or structural level.",17,Increased knowledge about HIV ,,Low
Using risk-tracing snowball approach to increase HIV case detection among high-risk populations in Cambodia: an intervention study.,"Early HIV diagnosis and initiation onto antiretroviral therapy may prevent ongoing spread of HIV. Risk Tracing Snowball Approach (RTSA) has been shown to be effective in detecting new HIV cases in other settings. The main objective of this study is to evaluate the effectiveness of RTSA in increasing the rate of newly identified HIV cases among high-risk populations. Our second objective was to evaluate the effectiveness of RTSA, as compared to the walk-in group, in increasing the number of HIV tests and early case detection",Research (published),KHANA,Early HIV Detection,Published,2017,Yi Siyan,KHANA,Cambodia,BMC Infect Dis. 2017 Oct 18;17(1):689,https://doi.org/10.1186/s12879-017-2790-1,,Primary study,Internal,en,Y,Open access,© The Author(s). 2017 Open Access This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/),No,Observational (Risk Tracing Snowball Approach (RTSA); using a respondent driven sampling method),High risk populations,2;12,"HIV care, testing and treatment (incl. adherence and monitoring) services; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,6;17,Increased use of voluntary counselling and testing; Increased knowledge about HIV,,Moderate
Trends in Injection Risk Behaviors among People Who Inject Drugs and the Impact of Harm Reduction,The study examined trends in injection risk behaviors among people who inject drugs (PWIDs) and assessed the impact of harm reduction programs in Ukraine during 2007-2013. ,Research (published),,KP: PWUD PWIDs Harm reduction,Published,2017,Monika Sigrist can refer to person in LO,APH,Ukraine,https://www.ncbi.nlm.nih.gov/pubmed/28097615,https://doi.org/10.1007/s11524-016-0119-9,,Primary study,Internal,en,Y,Closed access,© The New York Academy of Medicine 2017,No,Observational (Secondary analysis of the data collected in serial cross-sectionalbio-behavioral surveillance surveys),People who inject drugs (PWID),9;10,Needle and syringe programs; Opioid substitution therapy and other drug dependence treatment / Overdose prevention and management programs,"needle and syringe programs, OAT with buprenorphine
or methadone, HIV testing, and consultations provided to
PWIDs",11;12;13;14;28;29;30;31,"Increased uptake of sterile injecting equipment; Increased use of opioid substitution therapy; Increased use of harmful alcohol and substance abuse support; Increased use of naloxone; Increased access to sterile injecting equipment; Increased access to opioid substitution therapy; Increased access to harmful alcohol and substance abuse support; Increased access to naloxone



","(1) injecting drugs with a syringe previously used by another person during the last injection, (2) injecting drugs with a syringe previously used by anotherperson at least once in the last 30 days, (3) using common instruments for sharing (i.e., preparation)of a drug at least once in the last 30 days, (4) injecting with a preloaded syringe at least once in the last 30 days.",Moderate
The impact of a livelihood program on depressive symptoms among people living with HIV in Cambodia," Although livelihood programs have been implemented extensively to improve the daily living conditions of people living with HIV in Cambodia, no studies have yet investigated the impacts of these programs on the mental health of this vulnerable population. We examined the impact of a livelihood program on depressive symptoms and associated factors among people living with HIV in Cambodia.",Research (published),KHANA,"PLHIV, Livelihood",Completed,2016,Yi Siyan ,KHANA,Cambodia,Glob Health Action. 2016 Aug 9;9:31999.,https://www.ncbi.nlm.nih.gov/pubmed/27511811,,Primary study,Internal,en,Y,Open access,© 2016 Mayumi Shimizu et al. This is an Open Access article distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/),No,"Quasi-experimental (Non-equivalent comparison
group study)",PLHIV,15,Socioeconomic approaches,Livelihoods program,16;40,Improved mental health outcomes; Reduced discrimination and stigma around HIV,,Moderate
The impact of a community-based HIV and sexual reproductive health program on sexual and healthcare-seeking behaviors of female entertainment workers in Cambodia,"In Cambodia, despite great successes in the fight against HIV, challenges remain to eliminating new HIV infections and addressing sexual reproductive health (SRH) issues in key populations including female entertainment workers (FEWs). To address these issues, the Sustainable Action against HIV and AIDS in Communities (SAHACOM) project has been implemented since late 2009 using a community-based approach to integrate HIV and SRH services. This study evaluates the impact of the SAHACOM on sexual and healthcare-seeking behaviors among FEWs in Cambodia.",Research (published),KHANA,"SRHR, KP:SW",Completed,2015,Yi Siyan ,KHANA,Cambodia,Yi et al. BMC Infectious Diseases (2015) 15:221,https://doi.org/10.1186/s12879-015-0954-4,,Primary study,Internal,en,Y,Open access,© 2015 Yi et al. This is an Open Access article distributed under the terms of the Creative Commons Attribution License(http://creativecommons.org/licenses/by/4.0),No,Observational (midterm and endpoint comparison design),Female entertainment workers (FEWs),1;2;7;12,"Condoms (male and female) and lubricant programming; HIV care, testing and treatment (incl. adherence and monitoring) services; Diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)","(1) outreach sessions to FEWs at their
workplaces led by FEWs trained as outreach workers
who use behavior change communication techniques to
promote condom use, HIV/STI testing, family planning,
and reproductive health services; (2) community health
volunteers offering venue-based counseling and fingerprick
HIV/syphilis testing to FEWs as well as case management
and referrals for care and treatment at health
facilities; and (3) drop-in vocational training centers for
FEWs seeking new professions that provides trainings
on tailoring, make-up artistry, and hairdressing",18;19;35;38,"Positive behaviour change (individual level); Improved sexual and reproductive health (e.g. reduction in STIs, increased use of reproduction options) outcomes; Increased access to STI screening; Increased access to conception and pregnancy care",increase condom use with commercial and non-commercialpartners; (2) decrease number of commercial partners; (3)increase rates of regular HIV and STI testing; (4) increaseuse of modern contraceptive methods; (5) decrease inducedabortion rates; and (6) increase treatment-seekingfor STI symptoms.,Moderate
"Stigma Reduction Training Improves Healthcare Providers Attitudes Toward, and Experiences of, Young Marginalized People in Bangladesh","Working with health providers to reduce HIV Stigma in the healthcare setting is an important strategy to improve utilization and quality of care, especially for young people who are sexually active before marriage, are sexual minorities, or who sell sex. A stigma reduction training program for health providers in Bangladesh was evaluated.",Research (published),Link-Up,Stigma and discrimination,Published,2017,Felicia Wong,"Alliance Bangladesh, Marie Stopes Bangladesh, Population Council and Watipa Community Interest Company",Bangladesh,"Journal of Adolescent Health 60 (2017) 535-544
(Saved in Folder )",https://doi.org/10.1016/j.jadohealth.2016.09.026,,Primary study,Internal,en,Y,Closed access,© 2016 Society for Adolescent Health and Medicine,No,Observational (midterm and endpoint comparison design),Health care professionals and youth accessing services,13,"Interventions addressing stigma,
discrimination and
violence, including gender-based violence
prevention and treatment
programs",Stigma reduction program,20;40,"Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [Satisfaction with health services]; Reduced discrimination and stigma around HIV",Satisfaction with health services,Moderate
Social Return on Investment: A Cost-Benefit Analysis of the HIV Integrated Care and Prevention Programs in Cambodia,"The aim of this study was to use Social Return on Investment (SROI) methodology to evaluate the social, health, and economic impacts of the ICP project, enabling the calculation of a ratio cost-to-benefit for the community in terms of HIV care, support, and treatment",Research (published),KHANA,"Treatment, Cost benefit analysis",Completed,2016,Yi Siyan ,KHANA,Cambodia,"American Journal of Medical Sciences and Medicine Vol. 4, No. 2, 2016, pp 26-35.",http://pubs.sciepub.com/ajmsm/4/2/2/,,Primary study,Internal,en,Y,Closed access,© Science and Education Publishing,Yes,Observational (SROI method),PLHIV; OVC caregivers; community service volunteers (CSVs),2;12;13;15,"HIV care, testing and treatment (incl. adherence and monitoring) services; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); Interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs; Socioeconomic approaches",KHANA comprehensive services,20;16;7;47,"Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [improved family wellbeing; higher self-esteem; improved general health status; improved livelihoods; greater chance of completing school]; Improved mental health outcomes; Increased use of PMTCT sevices; Value for money",Many - see pg. 29 and 30,Moderate
"Risk network approaches to locating undiagnosed HIV cases in Odessa, Ukraine","Providing HIV healthcare and Treatment as Prevention both depend on diagnosing HIV cases, preferably soon after initial infection. We hypothesized that tracing risk networks recruits higher proportions of undiagnosed positives than outreach-based testing or respondent-driven sampling (RDS) in Odessa, Ukraine.",Research (published),TRIP,HIV treatment and prevention,Published,2017,Monika Sigrist can refer to person in LO,APH,Ukraine,https://www.ncbi.nlm.nih.gov/pubmed/29356365?dopt=Abstract,https://doi.org/10.1002/jia2.25040,,Primary study,Internal,en,Y,Open access,"© 2018 The Authors. Journal of the International AIDS Society published by John Wiley & sons Ltd on behalf of the International AIDS Society. This is anopen access article under the terms of the Creative Commons Attribution License, which permits use, distribution and reproduction in any medium, provided theoriginal work is properly cited.",No,Observational (risk network sampling method),High risk populations,2;12,"HIV care, testing and treatment (incl. adherence and monitoring) services; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",Comparison of 3 different testing,47,Value for money,,Moderate
